benchmark,k,mean_power,ci_lo_95,ci_hi_95,r2_obs,r2_shift,power_shifted
ARC-Easy,7,0.15,0.1344,0.1656,0.0624,hi,0.134
ARC-Easy,8,0.145,0.1296,0.1604,0.0624,lo,0.15
ARC-Easy,8,0.145,0.1296,0.1604,0.0624,hi,0.146
ARC-Easy,9,0.1295,0.1148,0.1442,0.0624,lo,0.114
ARC-Easy,9,0.1295,0.1148,0.1442,0.0624,hi,0.154
ARC-Easy,10,0.115,0.101,0.129,0.0624,lo,0.108
ARC-Easy,10,0.115,0.101,0.129,0.0624,hi,0.116
ARC-Easy,11,0.1245,0.11,0.139,0.0624,lo,0.128
ARC-Easy,11,0.1245,0.11,0.139,0.0624,hi,0.132
ARC-Easy,12,0.1285,0.1138,0.1432,0.0624,lo,0.108
ARC-Easy,12,0.1285,0.1138,0.1432,0.0624,hi,0.094
ARC-Easy,13,0.11,0.0963,0.1237,0.0624,lo,0.114
ARC-Easy,13,0.11,0.0963,0.1237,0.0624,hi,0.112
ARC-Easy,14,0.1085,0.0949,0.1221,0.0624,lo,0.106
ARC-Easy,14,0.1085,0.0949,0.1221,0.0624,hi,0.138
ARC-Easy,15,0.1065,0.093,0.12,0.0624,lo,0.102
ARC-Easy,15,0.1065,0.093,0.12,0.0624,hi,0.1
ARC-Easy,16,0.112,0.0982,0.1258,0.0624,lo,0.102
ARC-Easy,16,0.112,0.0982,0.1258,0.0624,hi,0.098
ARC-Easy,17,0.101,0.0878,0.1142,0.0624,lo,0.09
ARC-Easy,17,0.101,0.0878,0.1142,0.0624,hi,0.108
ARC-Easy,18,0.1145,0.1005,0.1285,0.0624,lo,0.092
ARC-Easy,18,0.1145,0.1005,0.1285,0.0624,hi,0.076
ARC-Easy,19,0.1045,0.0911,0.1179,0.0624,lo,0.1
ARC-Easy,19,0.1045,0.0911,0.1179,0.0624,hi,0.122
ARC-Easy,20,0.0995,0.0864,0.1126,0.0624,lo,0.098
ARC-Easy,20,0.0995,0.0864,0.1126,0.0624,hi,0.106
BBH,2,0.511,0.4891,0.5329,0.0003,lo,0.516
BBH,2,0.511,0.4891,0.5329,0.0003,hi,0.52
BBH,3,0.401,0.3795,0.4225,0.0003,lo,0.43
BBH,3,0.401,0.3795,0.4225,0.0003,hi,0.412
BBH,4,0.37,0.3488,0.3912,0.0003,lo,0.356
BBH,4,0.37,0.3488,0.3912,0.0003,hi,0.352
BBH,5,0.3565,0.3355,0.3775,0.0003,lo,0.37
BBH,5,0.3565,0.3355,0.3775,0.0003,hi,0.386
BBH,6,0.37,0.3488,0.3912,0.0003,lo,0.364
BBH,6,0.37,0.3488,0.3912,0.0003,hi,0.362
BBH,7,0.3775,0.3563,0.3987,0.0003,lo,0.41
BBH,7,0.3775,0.3563,0.3987,0.0003,hi,0.372
BBH,8,0.4225,0.4009,0.4441,0.0003,lo,0.398
BBH,8,0.4225,0.4009,0.4441,0.0003,hi,0.386
BBH,9,0.4095,0.3879,0.4311,0.0003,lo,0.422
BBH,9,0.4095,0.3879,0.4311,0.0003,hi,0.4
BBH,10,0.4135,0.3919,0.4351,0.0003,lo,0.4
BBH,10,0.4135,0.3919,0.4351,0.0003,hi,0.432
BBH,11,0.455,0.4332,0.4768,0.0003,lo,0.442
BBH,11,0.455,0.4332,0.4768,0.0003,hi,0.406
BBH,12,0.45,0.4282,0.4718,0.0003,lo,0.456
BBH,12,0.45,0.4282,0.4718,0.0003,hi,0.442
BBH,13,0.4695,0.4476,0.4914,0.0003,lo,0.476
BBH,13,0.4695,0.4476,0.4914,0.0003,hi,0.462
BBH,14,0.5045,0.4826,0.5264,0.0003,lo,0.52
BBH,14,0.5045,0.4826,0.5264,0.0003,hi,0.484
BBH,15,0.5145,0.4926,0.5364,0.0003,lo,0.542
BBH,15,0.5145,0.4926,0.5364,0.0003,hi,0.538
BBH,16,0.5195,0.4976,0.5414,0.0003,lo,0.534
